ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        23.657337468799728     23.650705822827216     0.006631645972513018   0.0                    5.204684988593218      0.9257760899435196     5.279148345616446      0.8674959867851405     0.40387781124316835    0.3809871707037107     77     916    0.0                    0.0                    0                      0                      0                      0                     
0           0          1        17.272398648437623     17.258067890744897     0.014330757474100182   2.1863247958741374e-10 2.2872000341816463     1.1501478407888759     0.8899259096652612     1.1015386247502494     0.5541041683115304     0.5318675702552979     77     916    2.184630911800588e-10  1.6938840735492419e-13 0                      0                      0                      0                     
0           0          2        10.573182811470378     10.559109942349625     0.014072868865597127   2.5515691412357007e-10 1.722255476144906      1.1490598930658962     0.8706489263304317     1.1030256084881664     0.5493793245253907     0.5277493139340876     77     916    2.549166940196087e-10  2.4022010396139387e-13 0                      0                      0                      0                     
0           0          3        2.50362937327376       2.4949954955738662     0.008633877366466976   3.334258079458661e-10  1.3831379888763493     0.9855445088107763     1.2985212523193514     0.9313161291859073     0.4483092362637858     0.4255480837056123     77     916    3.3292395538315674e-10 5.018525627093656e-13  0                      0                      0                      0                     
0           0          4        0.6781852087019141     0.6710222939213543     0.007162913921052567   8.595071100139633e-10  0.7924282190804521     0.911809550228235      0.783584965787807      0.8568870103910984     0.39986564920499806    0.3777860554200909     77     916    8.580167300407543e-10  1.4903799732090428e-12 0                      0                      0                      0                     
0           0          5        0.4230468167342697     0.4156457462771112     0.0074010694535679745  1.0035905443317105e-09 0.5001401739681348     0.908074063816419      0.45703176500929477    0.8538763279282755     0.40008226022425303    0.3783426923687814     77     916    1.001839618259513e-09  1.7509260721974202e-12 0                      0                      0                      0                     
0           0          6        0.2553193921181621     0.24812599953934877    0.007193391149559967   1.429253325130891e-09  0.4130152749743083     0.8810186256123913     0.39441489326350226    0.8247812936814362     0.3794768348951043     0.3571736451147744     77     916    1.426679258154796e-09  2.5740669760948988e-12 0                      0                      0                      0                     
0           0          7        0.2310137980654885     0.2238105905640395     0.007203205768458898   1.7329900796284956e-09 0.34129174942964424    0.8721308426676723     0.3072693515853343     0.8152337583390833     0.3686014547194842     0.3458859373551398     77     916    1.7295038723989093e-09 3.486207229586242e-12  0                      0                      0                      0                     
0           0          8        0.2179755105129972     0.2106476855830103     0.007327823121949585   1.8080373003056239e-09 0.32989771760553765    0.8668703816428412     0.2971952158200765     0.8094954612094358     0.36512783353556943    0.34231865553174795    77     916    1.8042901364140043e-09 3.7471638916196145e-12 0                      0                      0                      0                     
0           0          9        0.21556650224141016    0.20826189258353392    0.007304607828128351   1.8297478769216166e-09 0.32860112449910583    0.8658936035999473     0.2967028429822863     0.808438267407729      0.36379792454598614    0.3409485473260091     77     916    1.825973908392271e-09  3.773968529345664e-12  0                      0                      0                      0                     
0           0          10       0.21396774455204104    0.20669503900318603    0.007272703693005867   1.8558491603308825e-09 0.3276196443751167     0.8648064974913282     0.2962458389958764     0.8072366388471596     0.3621325763857287     0.33922449792539616    77     916    1.8520512857017375e-09 3.797874629144921e-12  0                      0                      0                      0                     
0           0          11       0.1996857911261622     0.1928352521930587     0.006850536764008567   2.1690949358562723e-09 0.3227948225417737     0.8557047055674531     0.2937492279770061     0.7970587396730379     0.345086516291033      0.32151674882936093    77     916    2.1650461121651952e-09 4.048823691077165e-12  0                      0                      0                      0                     
0           0          12       0.17597191933517076    0.16966895400755275    0.006302962390748963   2.9368690798094164e-09 0.2994572277675186     0.8433319895587491     0.2712576263471075     0.7829032029042475     0.3207722662328083     0.2962143882827198     77     916    2.9317949986257174e-09 5.074081183698926e-12  0                      0                      0                      0                     
0           0          13       0.14308417158241246    0.13679281500519017    0.006291351928573077   4.648649242364948e-09  0.25494319113007063    0.8365734620472585     0.2249380894557798     0.77503809573054       0.3202760796915777     0.2957731816624526     77     916    4.639509221547544e-09  9.140020817404191e-12  0                      0                      0                      0                     
0           0          14       0.12243832684120304    0.11663194786552442    0.005806373075306319   5.900372334047453e-09  0.2286612855817201     0.8306836562062531     0.1964246780274641     0.7678437451846608     0.2997920891884207     0.2743991024249974     77     916    5.88617581034803e-09   1.4196523699423287e-11 0                      0                      0                      0                     
0           0          15       0.11135166614093717    0.10543350056913163    0.005918159015168525   6.556636990507383e-09  0.21867051901053391    0.8355098640744674     0.18906835880920986    0.7719492560077318     0.3060817234792725     0.28058080274658836    77     916    6.539499671698613e-09  1.7137318808770174e-11 0                      0                      0                      0                     
0           0          16       0.0957560436587546     0.0893522543323987     0.0064037812662603175  8.060095576448072e-09  0.19901429630371495    0.8316118334268469     0.16592493012790516    0.7672054001820735     0.30981907233497563    0.2841768710693798     77     916    8.035098529125157e-09  2.4997047322914628e-11 0                      0                      0                      0                     
0           0          17       0.08859838905552188    0.08186960169315033    0.006728778654156034   8.708215488428872e-09  0.19254277513368276    0.8277525705044547     0.16311509930153695    0.7645823521165548     0.3156027080822523     0.2905894773607964     77     916    8.67976327928135e-09   2.8452209147520804e-11 0                      0                      0                      0                     
0           0          18       0.08649618696146488    0.07973803979211057    0.006758138236296604   8.93305774809524e-09   0.189607367550184      0.8259393636208567     0.16160582393449827    0.7630399860636554     0.3155149057726444     0.2906601187500438     77     916    8.903296292502204e-09  2.9761455593036984e-11 0                      0                      0                      0                     
0           0          19       0.08087255920036578    0.07421438239759325    0.006658165664511246   1.1138261267341413e-08 0.17777818055903688    0.8099223683477232     0.13895547929120114    0.7489905511248801     0.30595133959017545    0.28224597506303245    77     916    1.109323236006879e-08  4.502890727262223e-11  0                      0                      0                      0                     
0           0          20       0.0731604843482646     0.0658738844882979     0.007286587314853058   1.2545113618798913e-08 0.1705936017482082     0.8185873518868422     0.13210865369020494    0.7593462270507789     0.3261162146161776     0.3033462544184409     77     916    1.2488865992184212e-08 5.624762661470037e-11  0                      0                      0                      0                     
0           0          21       0.0631815243995376     0.054270398239841075   0.008911111538745749   1.4620950784920396e-08 0.16292567585291534    0.8475612790654578     0.13400850745166232    0.789942271471025      0.3670432890497267     0.34482958068105074    77     916    1.4546279510409424e-08 7.467127451097262e-11  0                      0                      0                      0                     
0           0          22       0.05279114017119136    0.04327056438832325    0.009520557967763046   1.7815105070971334e-08 0.1336362965800055     0.8437295913491313     0.10142870579107266    0.7830278958228923     0.3651352266430162     0.3414204011949807     77     916    1.770693065162106e-08  1.0817441935027383e-10 0                      0                      0                      0                     
